serial_no,exam_name,question,options/A,options/B,options/C,options/D,answer,explanation
257,MAT 2019-2020,আন্তঃকশেরুকা চাকতিতে কী ধরনের তরুণাস্থি পাওয়া যায়?,স্থিতিস্থাপক তরুণাস্থি,চুনময় তরুণাস্থি,শ্বেত-তত্ত্বময় তরুণাস্থি,স্বচ্ছ তরুণাস্থি,C,"স্থিতিস্থাপক: বহিঃকর্ণ বা পিনা, ইউস্টেশিয়ান নালি, এপিগ্লটিস প্রভৃতি।
চুনময়: হিউমেরাস ও ফিমারের মস্তক।
শ্বেত-তত্ত্বময়: দুটি কশেরুকার মধ্যবর্তী অঞ্চল।
স্বচ্ছ: স্তন্যপায়ীর নাক, শ্বাসনালি, স্বরযন্ত্র এবং ব্যাঙ ও হাঙরের ভ্রূণ বা পরিণত দেহ প্রভৃতি।"
101,AFMC 2018-2019,রক্তে গ্লুকোজের মাত্রা নিয়ন্ত্রণে কোন সংবহনতন্ত্রের ভূমিকা রয়েছে?,পালমোনারি,সিস্টেমিক,যকৃত পোর্টালতন্ত্র,বৃক্কীয় পোর্টালতন্ত্র,C,"যকৃত পোর্টাল তন্ত্রের তাৎপর্য বা কাজ:
১. পরিপাককৃত ও রক্ত কর্তৃক শোষিত খাদ্যসার পোর্টালতন্ত্রের মাধ্যমে
যকৃতে পৌছালে ইনসুলিন নামক হরমোনের প্রভাবে রক্ত থেকে
অতিরিক্ত গ্লুকোজ যকৃত শোষণ করে এবং জমা রাখে।
২. আবার রক্তে গ্লুকোজের মাত্রা কমে গেলে হরমোনের প্রভাবে যকৃত
কোষ থেকে সঞ্চিত গ্লুকোজ পোর্টালতন্ত্রের কৈশিকনালির মাধ্যমে
রক্তস্রোতে আসে। এভাবে যকৃত পোর্টালতন্ত্র রক্তে গ্লুকোজের মাত্রা
নিয়ন্ত্রণ করে।"
234,MAT 2019-2020,কোষের কোথায় ক্রেবস চক্র (Krebs cycle) সংঘটিত হয়?,Cytoplasm,Ribosome,Mitochondria,Chloroplast,C,"ক্রেবস চক্র শ্বসনের একটি ধাপ যা মাইটোকন্ড্রিয়ার ম্যাট্রিক্সে সংঘটিত হয়। Sir Hans Adolf Krebs এটি আবিষ্কার করেন। গ্লাইকোলাইসিস ছাড়া শ্বসনের সবকটি বিক্রিয়া (ক্রেবস চক্র, ETS/ অক্সিডেটিভফসফোরাইলেশন) মাইটোকন্ড্রিয়ায় ঘটে থাকে।"
996,DAT 2021-2022,কোন কোষ বিভাজন পদ্ধতিতে RBC তৈরি হয়?,synopsis,mitosis,meiosis,amitiosis,B,মাইটোসিস পদ্ধতিতে লোহিত রক্তকণিকা তৈরী হয়।
848,MAT 2021-2022,কোনটি autosomal recessive disorder?,থ্যালাসেমিয়া,লাল-সবুজ বর্ণান্ধতা,রাতকানা,হিমোফিলিয়া,A,"লাল-সবুজ বর্ণান্ধতা, রাতকানা, হিমোফিলিয়া- Sex-linked disorder. থ্যালাসেমিয়া- autosomal recessive disorder."
493,MAT 2011-2012,নিম্নের কোন অঙ্গে লোহিত কণিকা ধ্বংস হয়?,প্লীহা,যকৃত,পাকস্থলী,বৃক্ক,"A,B","লোহিত কণিকার উৎপত্তি জন্মের একমাস পূর্বে যকৃত ও প্লীহায় হয়। জন্মের পর লোহিত অস্থিমজ্জা, হিউমেরাস ও ফিমারের মস্তক, কশেরুকা, পশুর্কা, করোটির চ্যাপ্টা অস্থিতে উৎপন্ন হয়।
লোহিত কণিকা ধ্বংস হয় মূলত যকৃত ও প্লীহায়।"
802,MAT 2024-2025,কোন এন্টিবডি প্রধানত এলার্জির সাথে সংশ্লিষ্ট?,IgA,IgM,IgG,IgE,D,"IgE → এটি দুর্লভ Ig, প্রদাহ সাড়া সক্রিয় করে, অ্যালার্জিক সাড়াদানে নেতিবাচক ভূমিকা রাখে।
IgG → গর্ভাবস্থায় অমরা অতিক্রম করে।
IgA → মায়ের বুকের দুধের মাধ্যমে শিশুতে স্থানান্তরিত হয়।"
621,MAT 2009-2010,নিম্নের কোনটি হৃদপিন্ডের সংকোচনের শক্তিকে বাড়ায়?,ইনসুলিন,ভেগাস,এডরেনালিন,প্যারাথরমোন,C,এডরেনালিনকে আপদকালীন হরমোন বলা হয়। এটি হৃদস্পন্দন বৃদ্ধি করে ও হৃদপিণ্ডের সংকোচনের শক্তি বাড়ায়।
559,MAT 1990-1991,হিউমেরাস কোন অস্থিটিকে বলা হয়?,অগ্রপদের অস্থি,হাতের অস্থি,বাহুর অস্থি,পায়ের অস্থি,C,হিউমেরাস হচ্ছে বাহুর অস্থি। এটি ঊর্ধ্ব বাহুর একক বৃহৎ অস্থি।
523,MAT 2006-2007,ব্রঙ্কিয়াল নালীগুলোর কোনটি সঠিক পর্যায়ক্রম?,মুখ্য ব্রংকাই- ব্রঙ্কিওল- গৌণ ব্রঙ্কাই- শ্বসন ব্রঙ্কিওল- প্রান্তীয় ব্রঙ্কিওল- অ্যালভিওলার থলি- অ্যালভিওলার নালী- অ্যালভিওথলি,মুখ্য ব্রংকাই- ব্রঙ্কিওল- গৌণ ব্রঙ্কাই- শ্বসন ব্রঙ্কিওল- প্রান্তীয় ব্রঙ্কিওল- অ্যালভিওলার নালী- অ্যালভিওলার থলি- অ্যালভিওলি,মুখ্য ব্রংকাই- গৌণ ব্রঙ্কাই- ব্রঙ্কিওল- শ্বসন ব্রঙ্কিওল- প্রান্তীয় ব্রঙ্কিওল- অ্যালভিওরার নালী- অ্যালভিওলার থলি- অ্যালভিওলি,মুখ্য বঙ্কাই- গৌণ ব্রঙ্কাই- ব্রঙ্কিওল- প্রান্তীয় ব্রঙ্কিওল- শ্বসন ব্রঙ্কিওল- অ্যালভিওলার নালী- অ্যালভিওলার থলি- অ্যালভিওলি,B,শ্বসন বৃক্ষের পর্যায়ক্রম: ট্রাকিয়া → Primary (মুখ্য) ব্রঙ্কাস → Secondary (গৌণ) ব্রঙ্কাস → Tertiary (সেগমেন্টাল) ব্রঙ্কাস → ব্রঙ্কিওল → টার্মিনাল ব্রঙ্কিওল → শ্বসন ব্রঙ্কিওল → অ্যালভিওলার নালী → অ্যালভিওলার থলি → অ্যালভিওলি।
